-300.0;-75.0;200.0;-300.0;75.0;200.0
-300.0;75.0;200.0;-100.0;75.0;200.0
-100.0;75.0;200.0;-100.0;-75.0;200.0
-100.0;-75.0;200.0;-300.0;-75.0;200.0
-300.0;-75.0;500.0;-300.0;75.0;500.0
-300.0;75.0;500.0;-100.0;75.0;500.0
-100.0;75.0;500.0;-100.0;-75.0;500.0
-100.0;-75.0;500.0;-300.0;-75.0;500.0
-300.0;-75.0;200.0;-300.0;-75.0;500.0
-300.0;75.0;200.0;-300.0;75.0;500.0
-100.0;75.0;200.0;-100.0;75.0;500.0
-100.0;-75.0;200.0;-100.0;-75.0;500.0
-300.0;-75.0;200.0;-200.0;-250.0;350.0
-300.0;-75.0;500.0;-200.0;-250.0;350.0
-100.0;-75.0;200.0;-200.0;-250.0;350.0
-100.0;-75.0;500.0;-200.0;-250.0;350.0
-280.0;75.0;200.0;-280.0;5.0;200.0
-230.0;75.0;200.0;-230.0;5.0;200.0
-280.0;5.0;200.0;-230.0;5.0;200.0
-190.0;-5.0;200.0;-140.0;-5.0;200.0
-190.0;-55.0;200.0;-140.0;-55.0;200.0
-190.0;-5.0;200.0;-190.0;-55.0;200.0
-140.0;-5.0;200.0;-140.0;-55.0;200.0
300.0;-75.0;300.0;300.0;75.0;300.0
300.0;75.0;300.0;100.0;75.0;300.0
100.0;75.0;300.0;100.0;-75.0;300.0
100.0;-75.0;300.0;300.0;-75.0;300.0
300.0;-75.0;500.0;300.0;75.0;500.0
300.0;75.0;500.0;100.0;75.0;500.0
100.0;75.0;500.0;100.0;-75.0;500.0
100.0;-75.0;500.0;300.0;-75.0;500.0
300.0;-75.0;300.0;300.0;-75.0;500.0
300.0;75.0;300.0;300.0;75.0;500.0
100.0;75.0;300.0;100.0;75.0;500.0
100.0;-75.0;300.0;100.0;-75.0;500.0
300.0;-75.0;300.0;200.0;-250.0;400.0
300.0;-75.0;500.0;200.0;-250.0;400.0
100.0;-75.0;300.0;200.0;-250.0;400.0
100.0;-75.0;500.0;200.0;-250.0;400.0
120.0;75.0;300.0;120.0;5.0;300.0
170.0;75.0;300.0;170.0;5.0;300.0
120.0;5.0;300.0;170.0;5.0;300.0
260.0;-5.0;300.0;210.0;-5.0;300.0
260.0;-55.0;300.0;210.0;-55.0;300.0
260.0;-5.0;300.0;260.0;-55.0;300.0
210.0;-5.0;300.0;210.0;-55.0;300.0
-300.0;-700.0;800.0;-300.0;75.0;800.0
-300.0;75.0;800.0;-100.0;75.0;800.0
-100.0;75.0;800.0;-100.0;-700.0;800.0
-100.0;-700.0;800.0;-300.0;-700.0;800.0
-300.0;-700.0;1000.0;-300.0;75.0;1000.0
-300.0;75.0;1000.0;-100.0;75.0;1000.0
-100.0;75.0;1000.0;-100.0;-700.0;1000.0
-100.0;-700.0;1000.0;-300.0;-700.0;1000.0
-300.0;-700.0;800.0;-300.0;-700.0;1000.0
-300.0;75.0;800.0;-300.0;75.0;1000.0
-100.0;75.0;800.0;-100.0;75.0;1000.0
-100.0;-700.0;800.0;-100.0;-700.0;1000.0
